傌	㐷 骂
˙ㄅㄛ	bo
ㄅㄛ	bō
ㄅㄛˊ	bó
ㄅㄛˇ	bǒ
ㄅㄛˋ	bò
˙ㄅㄨ	bu
ㄅㄨ	bū
ㄅㄨˊ	bú
ㄅㄨˇ	bǔ
ㄅㄨˋ	bù
˙ㄘㄚ	ca
ㄘㄚ	cā
ㄘㄚˊ	cá
ㄘㄚˇ	cǎ
ㄘㄚˋ	cà
˙ㄘㄞ	cai
ㄘㄞ	cāi
ㄘㄞˊ	cái
ㄘㄞˇ	cǎi
ㄘㄞˋ	cài
˙ㄘㄢ	can
ㄘㄢ	cān
ㄘㄢˊ	cán
ㄘㄢˇ	cǎn
ㄘㄢˋ	càn
˙ㄘㄤ	cang
ㄘㄤ	cāng
ㄘㄤˊ	cáng
ㄘㄤˇ	cǎng
ㄘㄤˋ	càng
˙ㄘㄠ	cao
ㄘㄠ	cāo
ㄘㄠˊ	cáo
ㄘㄠˇ	cǎo
ㄘㄠˋ	cào
˙ㄘㄜ	ce
ㄘㄜ	cē
ㄘㄜˊ	cé
ㄘㄜˇ	cě
ㄘㄜˋ	cè
˙ㄘㄣ	cen
ㄘㄣ	cēn
ㄘㄣˊ	cén
ㄘㄣˇ	cěn
ㄘㄣˋ	cèn
˙ㄘㄥ	ceng
ㄘㄥ	cēng
ㄘㄥˊ	céng
ㄘㄥˇ	cěng
ㄘㄥˋ	cèng
˙ㄔㄚ	cha
ㄔㄚ	chā
ㄔㄚˊ	chá
ㄔㄚˇ	chǎ
ㄔㄚˋ	chà
˙ㄔㄞ	chai
ㄔㄞ	chāi
ㄔㄞˊ	chái
ㄔㄞˇ	chǎi
ㄔㄞˋ	chài
˙ㄔㄢ	chan
ㄔㄢ	chān
ㄔㄢˊ	chán
ㄔㄢˇ	chǎn
ㄔㄢˋ	chàn
˙ㄔㄤ	chang
ㄔㄤ	chāng
ㄔㄤˊ	cháng
ㄔㄤˇ	chǎng
ㄔㄤˋ	chàng
˙ㄔㄠ	chao
ㄔㄠ	chāo
ㄔㄠˊ	cháo
ㄔㄠˇ	chǎo
ㄔㄠˋ	chào
˙ㄔㄜ	che
ㄔㄜ	chē
ㄔㄜˊ	ché
ㄔㄜˇ	chě
ㄔㄜˋ	chè
˙ㄔㄣ	chen
ㄔㄣ	chēn
ㄔㄣˊ	chén
ㄔㄣˇ	chěn
ㄔㄣˋ	chèn
˙ㄔㄥ	cheng
ㄔㄥ	chēng
ㄔㄥˊ	chéng
ㄔㄥˇ	chěng
ㄔㄥˋ	chèng
˙ㄔ	chi
ㄔ	chī
ㄔˊ	chí
ㄔˇ	chǐ
ㄔˋ	chì
˙ㄔㄨㄥ	chong
ㄔㄨㄥ	chōng
ㄔㄨㄥˊ	chóng
ㄔㄨㄥˇ	chǒng
ㄔㄨㄥˋ	chòng
˙ㄔㄡ	chou
ㄔㄡ	chōu
ㄔㄡˊ	chóu
ㄔㄡˇ	chǒu
ㄔㄡˋ	chòu
˙ㄔㄨ	chu
ㄔㄨ	chū
ㄔㄨˊ	chú
ㄔㄨˇ	chǔ
ㄔㄨˋ	chù
˙ㄔㄨㄚ	chua
ㄔㄨㄚ	chuā
ㄔㄨㄚˊ	chuá
ㄔㄨㄚˇ	chuǎ
ㄔㄨㄚˋ	chuà
˙ㄔㄨㄞ	chuai
ㄔㄨㄞ	chuāi
ㄔㄨㄞˊ	chuái
ㄔㄨㄞˇ	chuǎi
ㄔㄨㄞˋ	chuài
˙ㄔㄨㄢ	chuan
ㄔㄨㄢ	chuān
ㄔㄨㄢˊ	chuán
ㄔㄨㄢˇ	chuǎn
ㄔㄨㄢˋ	chuàn
˙ㄔㄨㄤ	chuang
ㄔㄨㄤ	chuāng
ㄔㄨㄤˊ	chuáng
ㄔㄨㄤˇ	chuǎng
ㄔㄨㄤˋ	chuàng
˙ㄔㄨㄟ	chui
ㄔㄨㄟ	chuī
ㄔㄨㄟˊ	chuí
ㄔㄨㄟˇ	chuǐ
ㄔㄨㄟˋ	chuì
˙ㄔㄨㄣ	chun
ㄔㄨㄣ	chūn
ㄔㄨㄣˊ	chún
ㄔㄨㄣˇ	chǔn
ㄔㄨㄣˋ	chùn
˙ㄔㄨㄛ	chuo
ㄔㄨㄛ	chuō
ㄔㄨㄛˊ	chuó
ㄔㄨㄛˇ	chuǒ
ㄔㄨㄛˋ	chuò
˙ㄘ	ci
ㄘ	cī
ㄘˊ	cí
ㄘˇ	cǐ
ㄘˋ	cì
˙ㄘㄨㄥ	cong
ㄘㄨㄥ	cōng
ㄘㄨㄥˊ	cóng
ㄘㄨㄥˇ	cǒng
ㄘㄨㄥˋ	còng
˙ㄘㄡ	cou
ㄘㄡ	cōu
ㄘㄡˊ	cóu
ㄘㄡˇ	cǒu
ㄘㄡˋ	còu
˙ㄘㄨ	cu
ㄘㄨ	cū
ㄘㄨˊ	cú
ㄘㄨˇ	cǔ
ㄘㄨˋ	cù
˙ㄘㄨㄢ	cuan
ㄘㄨㄢ	cuān
ㄘㄨㄢˊ	cuán
ㄘㄨㄢˇ	cuǎn
ㄘㄨㄢˋ	cuàn
˙ㄘㄨㄟ	cui
ㄘㄨㄟ	cuī
ㄘㄨㄟˊ	cuí
ㄘㄨㄟˇ	cuǐ
ㄘㄨㄟˋ	cuì
˙ㄘㄨㄣ	cun
ㄘㄨㄣ	cūn
ㄘㄨㄣˊ	cún
ㄘㄨㄣˇ	cǔn
ㄘㄨㄣˋ	cùn
˙ㄘㄨㄛ	cuo
ㄘㄨㄛ	cuō
ㄘㄨㄛˊ	cuó
ㄘㄨㄛˇ	cuǒ
ㄘㄨㄛˋ	cuò
˙ㄉㄚ	da
ㄉㄚ	dā
ㄉㄚˊ	dá
ㄉㄚˇ	dǎ
ㄉㄚˋ	dà
˙ㄉㄞ	dai
ㄉㄞ	dāi
ㄉㄞˊ	dái
ㄉㄞˇ	dǎi
ㄉㄞˋ	dài
˙ㄉㄢ	dan
ㄉㄢ	dān
ㄉㄢˊ	dán
ㄉㄢˇ	dǎn
ㄉㄢˋ	dàn
˙ㄉㄤ	dang
ㄉㄤ	dāng
ㄉㄤˊ	dáng
ㄉㄤˇ	dǎng
ㄉㄤˋ	dàng
˙ㄉㄠ	dao
ㄉㄠ	dāo
ㄉㄠˊ	dáo
ㄉㄠˇ	dǎo
ㄉㄠˋ	dào
˙ㄉㄜ	de
ㄉㄜ	dē
ㄉㄜˊ	dé
ㄉㄜˇ	dě
ㄉㄜˋ	dè
˙ㄉㄟ	dei
ㄉㄟ	dēi
ㄉㄟˊ	déi
ㄉㄟˇ	děi
ㄉㄟˋ	dèi
˙ㄉㄣ	den
ㄉㄣ	dēn
ㄉㄣˊ	dén
ㄉㄣˇ	děn
ㄉㄣˋ	dèn
˙ㄉㄥ	deng
ㄉㄥ	dēng
ㄉㄥˊ	déng
ㄉㄥˇ	děng
ㄉㄥˋ	dèng
˙ㄉㄧ	di
ㄉㄧ	dī
ㄉㄧˊ	dí
ㄉㄧˇ	dǐ
ㄉㄧˋ	dì
˙ㄉㄧㄚ	dia
ㄉㄧㄚ	diā
ㄉㄧㄚˊ	diá
ㄉㄧㄚˇ	diǎ
ㄉㄧㄚˋ	dià
˙ㄉㄧㄢ	dian
ㄉㄧㄢ	diān
ㄉㄧㄢˊ	dián
ㄉㄧㄢˇ	diǎn
ㄉㄧㄢˋ	diàn
˙ㄉㄧㄠ	diao
ㄉㄧㄠ	diāo
ㄉㄧㄠˊ	diáo
ㄉㄧㄠˇ	diǎo
ㄉㄧㄠˋ	diào
˙ㄉㄧㄝ	die
ㄉㄧㄝ	diē
ㄉㄧㄝˊ	dié
ㄉㄧㄝˇ	diě
ㄉㄧㄝˋ	diè
˙ㄉㄧㄥ	ding
ㄉㄧㄥ	dīng
ㄉㄧㄥˊ	díng
ㄉㄧㄥˇ	dǐng
ㄉㄧㄥˋ	dìng
˙ㄉㄧㄡ	diu
ㄉㄧㄡ	diū
ㄉㄧㄡˊ	diú
ㄉㄧㄡˇ	diǔ
ㄉㄧㄡˋ	diù
˙ㄉㄨㄥ	dong
ㄉㄨㄥ	dōng
ㄉㄨㄥˊ	dóng
ㄉㄨㄥˇ	dǒng
ㄉㄨㄥˋ	dòng
˙ㄉㄡ	dou
ㄉㄡ	dōu
ㄉㄡˊ	dóu
ㄉㄡˇ	dǒu
ㄉㄡˋ	dòu
˙ㄉㄨ	du
ㄉㄨ	dū
ㄉㄨˊ	dú
ㄉㄨˇ	dǔ
ㄉㄨˋ	dù
˙ㄉㄨㄢ	duan
ㄉㄨㄢ	duān
ㄉㄨㄢˊ	duán
ㄉㄨㄢˇ	duǎn
ㄉㄨㄢˋ	duàn
˙ㄉㄨㄟ	dui
ㄉㄨㄟ	duī
ㄉㄨㄟˊ	duí
ㄉㄨㄟˇ	duǐ
ㄉㄨㄟˋ	duì
˙ㄉㄨㄣ	dun
ㄉㄨㄣ	dūn
ㄉㄨㄣˊ	dún
ㄉㄨㄣˇ	dǔn
ㄉㄨㄣˋ	dùn
˙ㄉㄨㄛ	duo
ㄉㄨㄛ	duō
ㄉㄨㄛˊ	duó
ㄉㄨㄛˇ	duǒ
ㄉㄨㄛˋ	duò
˙ㄜ	e
˙ㄝ	ê
ㄜ	ē
ㄝ	ē̂
ㄜˊ	é
ㄝˊ	é̂
ㄜˇ	ě
ㄝˇ	ě̂
ㄜˋ	è
ㄝˋ	è̂
˙ㄣ	en n
ㄣ	ēn n̄
ㄣˊ	én ń
ㄣˇ	ěn ň
ㄣˋ	èn ǹ
˙ㄥ	eng
ㄥ	ēng
ㄥˊ	éng
ㄥˇ	ěng
ㄥˋ	èng
˙ㄦ	er
ㄦˊ	ér
ㄦˇ	ěr
ㄦˋ	èr
˙ㄈㄚ	fa
ㄈㄚ	fā
ㄈㄚˊ	fá
ㄈㄚˇ	fǎ
ㄈㄚˋ	fà
˙ㄈㄢ	fan
ㄈㄢ	fān
ㄈㄢˊ	fán
ㄈㄢˇ	fǎn
ㄈㄢˋ	fàn
˙ㄈㄤ	fang
ㄈㄤ	fāng
ㄈㄤˊ	fáng
ㄈㄤˇ	fǎng
ㄈㄤˋ	fàng
˙ㄈㄟ	fei
ㄈㄟ	fēi
ㄈㄟˊ	féi
ㄈㄟˇ	fěi
ㄈㄟˋ	fèi
˙ㄈㄣ	fen
ㄈㄣ	fēn
ㄈㄣˊ	fén
ㄈㄣˇ	fěn
ㄈㄣˋ	fèn
˙ㄈㄥ	feng
ㄈㄥ	fēng
ㄈㄥˊ	féng
ㄈㄥˇ	fěng
ㄈㄥˋ	fèng
˙ㄈㄧㄠ	fiao
ㄈㄧㄠ	fiāo
ㄈㄧㄠˊ	fiáo
ㄈㄧㄠˇ	fiǎo
ㄈㄧㄠˋ	fiào
˙ㄈㄛ	fo
ㄈㄛ	fō
ㄈㄛˊ	fó
ㄈㄛˇ	fǒ
ㄈㄛˋ	fò
˙ㄈㄡ	fou
ㄈㄡ	fōu
ㄈㄡˊ	fóu
ㄈㄡˇ	fǒu
ㄈㄡˋ	fòu
˙ㄈㄨ	fu
ㄈㄨ	fū
ㄈㄨˊ	fú
ㄈㄨˇ	fǔ
ㄈㄨˋ	fù
˙ㄍㄚ	ga
ㄍㄚ	gā
ㄍㄚˊ	gá
ㄍㄚˇ	gǎ
ㄍㄚˋ	gà
˙ㄍㄞ	gai
ㄍㄞ	gāi
ㄍㄞˊ	gái
ㄍㄞˇ	gǎi
ㄍㄞˋ	gài
˙ㄍㄢ	gan
ㄍㄢ	gān
ㄍㄢˊ	gán
ㄍㄢˇ	gǎn
ㄍㄢˋ	gàn
˙ㄍㄤ	gang
ㄍㄤ	gāng
ㄍㄤˊ	gáng
ㄍㄤˇ	gǎng
ㄍㄤˋ	gàng
˙ㄍㄠ	gao
ㄍㄠ	gāo
ㄍㄠˊ	gáo
ㄍㄠˇ	gǎo
ㄍㄠˋ	gào
˙ㄍㄜ	ge
ㄍㄜ	gē
ㄍㄜˊ	gé
ㄍㄜˇ	gě
ㄍㄜˋ	gè
˙ㄍㄟ	gei
ㄍㄟ	gēi
ㄍㄟˊ	géi
ㄍㄟˇ	gěi
ㄍㄟˋ	gèi
˙ㄍㄣ	gen
ㄍㄣ	gēn
ㄍㄣˊ	gén
ㄍㄣˇ	gěn
ㄍㄣˋ	gèn
˙ㄍㄥ	geng
ㄍㄥ	gēng
ㄍㄥˊ	géng
ㄍㄥˇ	gěng
ㄍㄥˋ	gèng
˙ㄍㄨㄥ	gong
ㄍㄨㄥ	gōng
ㄍㄨㄥˊ	góng
ㄍㄨㄥˇ	gǒng
ㄍㄨㄥˋ	gòng
˙ㄍㄡ	gou
ㄍㄡ	gōu
ㄍㄡˊ	góu
ㄍㄡˇ	gǒu
ㄍㄡˋ	gòu
˙ㄍㄨ	gu
ㄍㄨ	gū
ㄍㄨˊ	gú
ㄍㄨˇ	gǔ
ㄍㄨˋ	gù
˙ㄍㄨㄚ	gua
ㄍㄨㄚ	guā
ㄍㄨㄚˊ	guá
ㄍㄨㄚˇ	guǎ
ㄍㄨㄚˋ	guà
˙ㄍㄨㄞ	guai
ㄍㄨㄞ	guāi
ㄍㄨㄞˊ	guái
ㄍㄨㄞˇ	guǎi
ㄍㄨㄞˋ	guài
˙ㄍㄨㄢ	guan
ㄍㄨㄢ	guān
ㄍㄨㄢˊ	guán
ㄍㄨㄢˇ	guǎn
ㄍㄨㄢˋ	guàn
˙ㄍㄨㄤ	guang
ㄍㄨㄤ	guāng
ㄍㄨㄤˊ	guáng
ㄍㄨㄤˇ	guǎng
ㄍㄨㄤˋ	guàng
˙ㄍㄨㄟ	gui
ㄍㄨㄟ	guī
ㄍㄨㄟˊ	guí
ㄍㄨㄟˇ	guǐ
ㄍㄨㄟˋ	guì
˙ㄍㄨㄣ	gun
ㄍㄨㄣ	gūn
ㄍㄨㄣˊ	gún
ㄍㄨㄣˇ	gǔn
ㄍㄨㄣˋ	gùn
˙ㄍㄨㄛ	guo
ㄍㄨㄛ	guō
ㄍㄨㄛˊ	guó
ㄍㄨㄛˇ	guǒ
ㄍㄨㄛˋ	guò
˙ㄏㄚ	ha
ㄏㄚ	hā
ㄏㄚˊ	há
ㄏㄚˇ	hǎ
ㄏㄚˋ	hà
˙ㄏㄞ	hai
ㄏㄞ	hāi
ㄏㄞˊ	hái
ㄏㄞˇ	hǎi
ㄏㄞˋ	hài
˙ㄏㄢ	han
ㄏㄢ	hān
ㄏㄢˊ	hán
ㄏㄢˇ	hǎn
ㄏㄢˋ	hàn
˙ㄏㄤ	hang
ㄏㄤ	hāng
ㄏㄤˊ	háng
ㄏㄤˇ	hǎng
ㄏㄤˋ	hàng
˙ㄏㄠ	hao
ㄏㄠ	hāo
ㄏㄠˊ	háo
ㄏㄠˇ	hǎo
ㄏㄠˋ	hào
˙ㄏㄜ	he
ㄏㄜ	hē
ㄏㄜˊ	hé
ㄏㄜˇ	hě
ㄏㄜˋ	hè
˙ㄏㄟ	hei
ㄏㄟ	hēi
ㄏㄟˊ	héi
ㄏㄟˇ	hěi
ㄏㄟˋ	hèi
˙ㄏㄣ	hen
ㄏㄣ	hēn
ㄏㄣˊ	hén
ㄏㄣˇ	hěn
ㄏㄣˋ	hèn
˙ㄏㄥ	heng
ㄏㄥ	hēng
ㄏㄥˊ	héng
ㄏㄥˇ	hěng
ㄏㄥˋ	hèng
˙ㄏㄨㄥ	hong
ㄏㄨㄥ	hōng
ㄏㄨㄥˊ	hóng
ㄏㄨㄥˇ	hǒng
ㄏㄨㄥˋ	hòng
˙ㄏㄡ	hou
ㄏㄡ	hōu
ㄏㄡˊ	hóu
ㄏㄡˇ	hǒu
ㄏㄡˋ	hòu
˙ㄏㄨ	hu
ㄏㄨ	hū
ㄏㄨˊ	hú
ㄏㄨˇ	hǔ
ㄏㄨˋ	hù
˙ㄏㄨㄚ	hua
ㄏㄨㄚ	huā
ㄏㄨㄚˊ	huá
ㄏㄨㄚˇ	huǎ
ㄏㄨㄚˋ	huà
˙ㄏㄨㄞ	huai
ㄏㄨㄞ	huāi
ㄏㄨㄞˊ	huái
ㄏㄨㄞˇ	huǎi
ㄏㄨㄞˋ	huài
˙ㄏㄨㄢ	huan
ㄏㄨㄢ	huān
ㄏㄨㄢˊ	huán
ㄏㄨㄢˇ	huǎn
ㄏㄨㄢˋ	huàn
˙ㄏㄨㄤ	huang
ㄏㄨㄤ	huāng
ㄏㄨㄤˊ	huáng
ㄏㄨㄤˇ	huǎng
ㄏㄨㄤˋ	huàng
˙ㄏㄨㄟ	hui
ㄏㄨㄟ	huī
ㄏㄨㄟˊ	huí
ㄏㄨㄟˇ	huǐ
ㄏㄨㄟˋ	huì
˙ㄏㄨㄣ	hun
ㄏㄨㄣ	hūn
ㄏㄨㄣˊ	hún
ㄏㄨㄣˇ	hǔn
ㄏㄨㄣˋ	hùn
˙ㄏㄨㄛ	huo
ㄏㄨㄛ	huō
ㄏㄨㄛˊ	huó
ㄏㄨㄛˇ	huǒ
ㄏㄨㄛˋ	huò
˙ㄐㄧ	ji
ㄐㄧ	jī
ㄐㄧˊ	jí
ㄐㄧˇ	jǐ
ㄐㄧˋ	jì
˙ㄐㄧㄚ	jia
ㄐㄧㄚ	jiā
ㄐㄧㄚˊ	jiá
ㄐㄧㄚˇ	jiǎ
ㄐㄧㄚˋ	jià
˙ㄐㄧㄢ	jian
ㄐㄧㄢ	jiān
ㄐㄧㄢˊ	jián
ㄐㄧㄢˇ	jiǎn
ㄐㄧㄢˋ	jiàn
˙ㄐㄧㄤ	jiang
ㄐㄧㄤ	jiāng
ㄐㄧㄤˊ	jiáng
ㄐㄧㄤˇ	jiǎng
ㄐㄧㄤˋ	jiàng
˙ㄐㄧㄠ	jiao
ㄐㄧㄠ	jiāo
ㄐㄧㄠˊ	jiáo
ㄐㄧㄠˇ	jiǎo
ㄐㄧㄠˋ	jiào
˙ㄐㄧㄝ	jie
ㄐㄧㄝ	jiē
ㄐㄧㄝˊ	jié
ㄐㄧㄝˇ	jiě
ㄐㄧㄝˋ	jiè
˙ㄐㄧㄣ	jin
ㄐㄧㄣ	jīn
ㄐㄧㄣˊ	jín
ㄐㄧㄣˇ	jǐn
ㄐㄧㄣˋ	jìn
˙ㄐㄧㄥ	jing
ㄐㄧㄥ	jīng
ㄐㄧㄥˊ	jíng
ㄐㄧㄥˇ	jǐng
ㄐㄧㄥˋ	jìng
˙ㄐㄩㄥ	jiong
ㄐㄩㄥ	jiōng
ㄐㄩㄥˊ	jióng
ㄐㄩㄥˇ	jiǒng
ㄐㄩㄥˋ	jiòng
˙ㄐㄧㄡ	jiu
ㄐㄧㄡ	jiū
ㄐㄧㄡˊ	jiú
ㄐㄧㄡˇ	jiǔ
ㄐㄧㄡˋ	jiù
˙ㄐㄩ	ju
ㄐㄩ	jū
ㄐㄩˊ	jú
ㄐㄩˇ	jǔ
ㄐㄩˋ	jù
˙ㄐㄩㄢ	juan
ㄐㄩㄢ	juān
ㄐㄩㄢˊ	juán
ㄐㄩㄢˇ	juǎn
ㄐㄩㄢˋ	juàn
˙ㄐㄩㄝ	jue
ㄐㄩㄝ	juē
ㄐㄩㄝˊ	jué
ㄐㄩㄝˇ	juě
ㄐㄩㄝˋ	juè
˙ㄐㄩㄣ	jun
ㄐㄩㄣ	jūn
ㄐㄩㄣˊ	jún
ㄐㄩㄣˇ	jǔn
ㄐㄩㄣˋ	jùn
˙ㄎㄚ	ka
ㄎㄚ	kā
ㄎㄚˊ	ká
ㄎㄚˇ	kǎ
ㄎㄚˋ	kà
˙ㄎㄞ	kai
ㄎㄞ	kāi
ㄎㄞˊ	kái
ㄎㄞˇ	kǎi
ㄎㄞˋ	kài
˙ㄎㄢ	kan
ㄎㄢ	kān
ㄎㄢˊ	kán
ㄎㄢˇ	kǎn
ㄎㄢˋ	kàn
˙ㄎㄤ	kang
ㄎㄤ	kāng
ㄎㄤˊ	káng
ㄎㄤˇ	kǎng
ㄎㄤˋ	kàng
˙ㄎㄠ	kao
ㄎㄠ	kāo
ㄎㄠˊ	káo
ㄎㄠˇ	kǎo
ㄎㄠˋ	kào
˙ㄎㄜ	ke
ㄎㄜ	kē
ㄎㄜˊ	ké
ㄎㄜˇ	kě
ㄎㄜˋ	kè
˙ㄎㄣ	ken
ㄎㄣ	kēn
ㄎㄣˊ	kén
ㄎㄣˇ	kěn
ㄎㄣˋ	kèn
˙ㄎㄥ	keng
ㄎㄥ	kēng
ㄎㄥˊ	kéng
ㄎㄥˇ	kěng
ㄎㄥˋ	kèng
˙ㄎㄨㄥ	kong
ㄎㄨㄥ	kōng
ㄎㄨㄥˊ	kóng
ㄎㄨㄥˇ	kǒng
ㄎㄨㄥˋ	kòng
˙ㄎㄡ	kou
ㄎㄡ	kōu
ㄎㄡˊ	kóu
ㄎㄡˇ	kǒu
ㄎㄡˋ	kòu
˙ㄎㄨ	ku
ㄎㄨ	kū
ㄎㄨˊ	kú
ㄎㄨˇ	kǔ
ㄎㄨˋ	kù
˙ㄎㄨㄚ	kua
ㄎㄨㄚ	kuā
ㄎㄨㄚˊ	kuá
ㄎㄨㄚˇ	kuǎ
ㄎㄨㄚˋ	kuà
˙ㄎㄨㄞ	kuai
ㄎㄨㄞ	kuāi
ㄎㄨㄞˊ	kuái
ㄎㄨㄞˇ	kuǎi
ㄎㄨㄞˋ	kuài
˙ㄎㄨㄢ	kuan
ㄎㄨㄢ	kuān
ㄎㄨㄢˊ	kuán
ㄎㄨㄢˇ	kuǎn
ㄎㄨㄢˋ	kuàn
˙ㄎㄨㄤ	kuang
ㄎㄨㄤ	kuāng
ㄎㄨㄤˊ	kuáng
ㄎㄨㄤˇ	kuǎng
ㄎㄨㄤˋ	kuàng
˙ㄎㄨㄟ	kui
ㄎㄨㄟ	kuī
ㄎㄨㄟˊ	kuí
ㄎㄨㄟˇ	kuǐ
ㄎㄨㄟˋ	kuì
˙ㄎㄨㄣ	kun
ㄎㄨㄣ	kūn
ㄎㄨㄣˊ	kún
ㄎㄨㄣˇ	kǔn
ㄎㄨㄣˋ	kùn
˙ㄎㄨㄛ	kuo
ㄎㄨㄛ	kuō
ㄎㄨㄛˊ	kuó
ㄎㄨㄛˇ	kuǒ
ㄎㄨㄛˋ	kuò
˙ㄌㄚ	la
ㄌㄚ	lā
ㄌㄚˊ	lá
ㄌㄚˇ	lǎ
ㄌㄚˋ	là
˙ㄌㄞ	lai
ㄌㄞ	lāi
ㄌㄞˊ	lái
ㄌㄞˇ	lǎi
ㄌㄞˋ	lài
˙ㄌㄢ	lan
ㄌㄢ	lān
ㄌㄢˊ	lán
ㄌㄢˇ	lǎn
ㄌㄢˋ	làn
˙ㄌㄤ	lang
ㄌㄤ	lāng
ㄌㄤˊ	láng
ㄌㄤˇ	lǎng
ㄌㄤˋ	làng
˙ㄌㄠ	lao
ㄌㄠ	lāo
ㄌㄠˊ	láo
ㄌㄠˇ	lǎo
ㄌㄠˋ	lào
˙ㄌㄜ	le
ㄌㄜ	lē
ㄌㄜˊ	lé
ㄌㄜˇ	lě
ㄌㄜˋ	lè
˙ㄌㄟ	lei
ㄌㄟ	lēi
ㄌㄟˊ	léi
ㄌㄟˇ	lěi
ㄌㄟˋ	lèi
˙ㄌㄥ	leng
ㄌㄥ	lēng
ㄌㄥˊ	léng
ㄌㄥˇ	lěng
ㄌㄥˋ	lèng
˙ㄌㄧ	li
ㄌㄧ	lī
ㄌㄧˊ	lí
ㄌㄧˇ	lǐ
ㄌㄧˋ	lì
˙ㄌㄧㄚ	lia
ㄌㄧㄚ	liā
ㄌㄧㄚˊ	liá
ㄌㄧㄚˇ	liǎ
ㄌㄧㄚˋ	lià
˙ㄌㄧㄢ	lian
ㄌㄧㄢ	liān
ㄌㄧㄢˊ	lián
ㄌㄧㄢˇ	liǎn
ㄌㄧㄢˋ	liàn
˙ㄌㄧㄤ	liang
ㄌㄧㄤ	liāng
ㄌㄧㄤˊ	liáng
ㄌㄧㄤˇ	liǎng
ㄌㄧㄤˋ	liàng
˙ㄌㄧㄠ	liao
ㄌㄧㄠ	liāo
ㄌㄧㄠˊ	liáo
ㄌㄧㄠˇ	liǎo
ㄌㄧㄠˋ	liào
˙ㄌㄧㄝ	lie
ㄌㄧㄝ	liē
ㄌㄧㄝˊ	lié
ㄌㄧㄝˇ	liě
ㄌㄧㄝˋ	liè
˙ㄌㄧㄣ	lin
ㄌㄧㄣ	līn
ㄌㄧㄣˊ	lín
ㄌㄧㄣˇ	lǐn
ㄌㄧㄣˋ	lìn
˙ㄌㄧㄥ	ling
ㄌㄧㄥ	līng
ㄌㄧㄥˊ	líng
ㄌㄧㄥˇ	lǐng
ㄌㄧㄥˋ	lìng
˙ㄌㄧㄡ	liu
ㄌㄧㄡ	liū
ㄌㄧㄡˊ	liú
ㄌㄧㄡˇ	liǔ
ㄌㄧㄡˋ	liù
˙ㄌㄛ	lo
ㄌㄛ	lō
ㄌㄛˊ	ló
ㄌㄛˇ	lǒ
ㄌㄛˋ	lò
˙ㄌㄨㄥ	long
ㄌㄨㄥ	lōng
ㄌㄨㄥˊ	lóng
ㄌㄨㄥˇ	lǒng
ㄌㄨㄥˋ	lòng
˙ㄌㄡ	lou
ㄌㄡ	lōu
ㄌㄡˊ	lóu
ㄌㄡˇ	lǒu
ㄌㄡˋ	lòu
˙ㄌㄨ	lu
ㄌㄨ	lū
ㄌㄨˊ	lú
ㄌㄨˇ	lǔ
ㄌㄨˋ	lù
˙ㄌㄨㄢ	luan
ㄌㄨㄢ	luān
ㄌㄨㄢˊ	luán
ㄌㄨㄢˇ	luǎn
ㄌㄨㄢˋ	luàn
˙ㄌㄨㄣ	lun
ㄌㄨㄣ	lūn
ㄌㄨㄣˊ	lún
ㄌㄨㄣˇ	lǔn
ㄌㄨㄣˋ	lùn
˙ㄌㄨㄛ	luo
ㄌㄨㄛ	luō
ㄌㄨㄛˊ	luó
ㄌㄨㄛˇ	luǒ
ㄌㄨㄛˋ	luò
˙ㄌㄩ	lü
ㄌㄩ	lǖ
ㄌㄩˊ	lǘ
ㄌㄩˇ	lǚ
ㄌㄩˋ	lǜ
˙ㄌㄩㄝ	lüe
ㄌㄩㄝ	lüē
ㄌㄩㄝˊ	lüé
ㄌㄩㄝˇ	lüě
ㄌㄩㄝˋ	lüè
˙ㄇ	m
ㄇ	m̄
ㄇˊ	ḿ
ㄇˇ	m̌
ㄇˋ	m̀
˙ㄇㄚ	ma
ㄇㄚ	mā
ㄇㄚˊ	má
ㄇㄚˇ	mǎ
ㄇㄚˋ	mà
˙ㄇㄞ	mai
ㄇㄞ	māi
ㄇㄞˊ	mái
ㄇㄞˇ	mǎi
ㄇㄞˋ	mài
˙ㄇㄢ	man
ㄇㄢ	mān
ㄇㄢˊ	mán
ㄇㄢˇ	mǎn
ㄇㄢˋ	màn
˙ㄇㄤ	mang
ㄇㄤ	māng
ㄇㄤˊ	máng
ㄇㄤˇ	mǎng
ㄇㄤˋ	màng
˙ㄇㄠ	mao
ㄇㄠ	māo
ㄇㄠˊ	máo
ㄇㄠˇ	mǎo
ㄇㄠˋ	mào
˙ㄇㄜ	me
ㄇㄜ	mē
ㄇㄜˊ	mé
ㄇㄜˇ	mě
ㄇㄜˋ	mè
˙ㄇㄟ	mei
ㄇㄟ	mēi
ㄇㄟˊ	méi
ㄇㄟˇ	měi
ㄇㄟˋ	mèi
˙ㄇㄣ	men
ㄇㄣ	mēn
ㄇㄣˊ	mén
ㄇㄣˇ	měn
ㄇㄣˋ	mèn
˙ㄇㄥ	meng
ㄇㄥ	mēng
ㄇㄥˊ	méng
ㄇㄥˇ	měng
ㄇㄥˋ	mèng
˙ㄇㄧ	mi
ㄇㄧ	mī
ㄇㄧˊ	mí
ㄇㄧˇ	mǐ
ㄇㄧˋ	mì
˙ㄇㄧㄢ	mian
