傌	㐷 骂
慘	惨
懲	惩
憊	惫
㥦	惬
愜	惬
慙	惭
慚	惭
憚	惮
慣	惯
諐	愆
瘉	愈
癒	愈
慍	愠
憤	愤
憒	愦
媿	愧
願	愿
昚	慎
慴	慑
懾	慑
嘅	慨
憖	慭
癄	憔
顦	憔
憇	憩
懣	懑
嬾	懒
懶	懒
懍	懔
戇	戆
戔	戋
戲	戏
戧	戗
戰	战
慼	戚
慽	戚
戞	戛
戩	戬
剹	戮
戱	戯
戶	户
纔	才
紥	扎
紮	扎
撲	扑
託	托
摃	扛
釦	扣
執	执
擴	扩
捫	扪
掃	扫
揚	扬
敭	扬
颺	扬 飏
撦	扯
擾	扰
搤	扼
摺	折
撫	抚
拋	抛
摶	抟
摳	抠
掄	抡
搶	抢
護	护
報	报
觝	抵
擔	担
枴	拐
柺	拐
搨	拓
拕	拖
抝	拗
儗	拟
擬	拟
攏	拢
揀	拣
擁	拥
攔	拦
擰	拧
撥	拨
擇	择
𢬸	括
拚	拼
㧱	拿
拏	拿
挐	拿
掛	挂
𦊱	挂
摯	挚
攣	挛
掗	挜
撾	挝
撻	挞
挾	挟
撓	挠
擋	挡
攩	挡
撟	挢
掙	挣
擠	挤
揮	挥
撏	挦
捱	挨
挱	挲
輓	挽
摀	捂
綑	捆
扞	捍 扞
揑	捏
挩	捝
撈	捞
損	损
撿	捡
換	换
搗	捣
擣	捣
𢷬	捣
㨿	据
據	据
搥	捶
㨗	捷
搯	掏
擄	掳
摑	掴
擲	掷
撣	掸
摻	掺
摜	掼
揷	插
揫	揪
攬	揽
搵	揾
搇	揿
撳	揿
攙	搀 掺
擱	搁
摟	搂
揯	搄
攪	搅
蒐	搜 蒐
㩗	携
㩦	携
擕	携
攜	携
攝	摄
攄	摅
擺	摆
襬	摆
搖	摇
擯	摈
攤	摊
攖	撄
撐	撑
譔	撰
攆	撵
擷	撷
擼	撸
攛	撺
𢮥	操
㩵	擜
擻	擞
攢	攒
傚	效
効	效
敵	敌
捄	救
勅	敕
勑	敕 𠡠
敎	教
敓	敚
斂	敛
歛	敛
㪚	散
㪟	敦
斆	敩
數	数
亝	斋
齋	斋
斕	斓
鬥	斗
鬦	斗
鬪	斗
鬭	斗
觔	斤
斬	斩
斮	斫
斲	斫
斵	斫
斷	断
鏇	旋
旂	旗
無	无
旣	既
舊	旧
旹	时
時	时
曠	旷
暘	旸
崐	昆
崑	昆
昬	昏
曇	昙
暎	映
旾	春
昰	是
暱	昵
晝	昼
曨	昽
顯	显
㨪	晃
晉	晋
曬	晒
曉	晓
曄	晔
暈	晕
暉	晖
晳	晰
暫	暂
蹔	暂 𫏐
𣈶	暅
㬉	暖
煖	暖
煗	暖
晻	暗
闇	暗
曖	暧
麯	曲
麴	曲 麹
㝡	最
冣	最
朢	望
朞	期
剳	札
劄	札 劄
朮	术
術	术
硃	朱
樸	朴
朶	朵
機	机
殺	杀
襍	杂
雜	杂
權	权
桿	杆
邨	村
槓	杠
條	条
來	来
楊	杨
榪	杩
桮	杯
盃	杯
傑	杰
鬆	松
闆	板
極	极
搆	构
構	构
菓	果
樅	枞
樞	枢
棗	枣
櫪	枥
梘	枧
棖	枨
槍	枪
鎗	枪
楓	枫
梟	枭
栢	柏
櫃	柜
檸	柠
査	查
栁	柳
桺	柳
檉	柽
柹	柿
梔	栀
柵	栅
標	标
棧	栈
櫛	栉
櫳	栊
棟	栋
櫨	栌
櫟	栎
欄	栏
樹	树
棲	栖
慄	栗
樣	样
覈	核
欒	栾
槕	桌
桒	桑
椏	桠 丫
橈	桡
楨	桢
檔	档
榿	桤
橋	桥
樺	桦
檜	桧
槳	桨
樁	桩
樳	桪
樑	梁
楳	梅
槑	梅
夢	梦
棃	梨
檮	梼
棶	梾
槤	梿
檢	检
梲	棁
欞	棂
棊	棋
碁	棋
椶	棕
箠	棰
稜	棱
櫂	棹
槨	椁
櫝	椟
槧	椠
槶	椢
欏	椤
樿	椫
橢	椭
槮	椮
枏	楠
柟	楠
楥	楦
檝	楫
樓	楼
㮣	概
欖	榄
榲	榅
櫬	榇
櫚	榈
櫸	榉
欅	榉
牓	榜
樧	榝
搾	榨
搉	榷
𣙜	榷
槀	槁
檟	槚
檻	槛
檳	槟
櫧	槠
橫	横
檣	樯
艢	樯
櫻	樱
罇	樽
橜	橛
櫫	橥
櫥	橱
㯭	橹
樐	橹
櫓	橹
艣	橹 𫇛
艪	橹
櫞	橼
簷	檐
檁	檩
懽	欢
歡	欢
讙	欢
驩	欢
歟	欤
歐	欧
慾	欲
欵	款
謌	歌
殲	歼
歿	殁
殤	殇
殘	残
殞	殒
殮	殓
殫	殚
殯	殡
毆	殴
慇	殷
毀	毁
燬	毁
譭	毁
轂	毂
畢	毕
毘	毗
斃	毙
獘	毙
氈	毡
氊	毡
毿	毵
𣯶	毶
氌	氇
氣	气
雰	氛
氫	氢
氬	氩
氳	氲
匯	汇
彙	汇
滙	汇
漢	汉
汙	污
汚	污
湯	汤
洶	汹
澐	沄
沈	沈 沉
瀋	沈
溝	沟
沒	没
灃	沣
漚	沤
瀝	沥
淪	沦
滄	沧
渢	沨
溈	沩
